annee	grav_1	grav_2	grav_3	grav_4
2005	80272	5543	40792	70891
2006	76163	4942	41869	64111
2007	76910	4838	39754	66955
2008	69612	4443	36179	60726
2009	67806	4443	34506	59207
2010	62847	4172	31337	55836
2011	60560	4111	30635	53237
2012	56577	3842	28107	50102
2013	52622	3427	26895	45750
2014	53487	3557	27502	47640
2015	53378	3616	27717	45667
2016	54640	3655	28376	46751
2017	56270	3600	28993	47158
2018	54248	3392	22169	50360
2019	55314	3498	20858	53307
2020	43267	2780	16775	42473
2021	55143	3219	19093	51733
2022	53630	3550	19260	49981
