	Type	Val_unique	Val_notnull	Val_null	%_null
Num_Acc	int64	1176873	2636377	0	0.00
place	float64	12	2513249	123128	4.67
catu	int64	4	2636377	0	0.00
grav	int64	5	2636377	0	0.00
sexe	int64	3	2636377	0	0.00
trajet	float64	8	2635883	494	0.02
secu	float64	24	2085658	550719	20.89
locp	float64	11	2580016	56361	2.14
actp	object	21	2579915	56462	2.14
etatp	float64	5	2579959	56418	2.14
an_nais	float64	127	2628018	8359	0.32
num_veh	object	181	2636377	0	0.00
id_vehicule	object	369639	494182	2142195	81.26
secu1	float64	11	494182	2142195	81.26
secu2	float64	11	494182	2142195	81.26
secu3	float64	11	494182	2142195	81.26
id_usager	object	255910	255910	2380467	90.29
