Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
201900000787,20,9,2019,12:25,1,13,13063,2,2,1,3,ANCIENS COMBATTANTS AVENUE DES,"43,5916500","5,0039200"
201900006820,9,6,2019,13:15,1,64,64094,1,1,1,1,Borde Aroubers,"43,4745520"," -1,2048040"
201900018127,14,5,2019,21:45,5,69,69388,2,2,1,1,FRERES LUMIERE (DES)                (AV),"45,7433200","4,8742600"
201900019006,11,9,2019,17:10,1,93,93030,2,1,1,2,CROIZAT (AVENUE AMBROISE),"48,9578600","2,4159300"
201900020717,30,1,2019,08:50,1,988,98818,2,6,3,7,ROUTE STRATEGIQUE - RUE PAUL CACOT," -22,2636800","166,4497500"
201900025768,17,12,2019,19:00,5,61,61169,2,3,2,6,LOUIS TOUSSAINT (AVE),"48,7419970"," -0,5673400"
201900027538,12,11,2019,07:25,1,93,93005,2,1,2,6,JACQUES DUCLOS [CD44] (RUE),"48,9445800","2,4957200"
201900030055,4,9,2019,09:36,1,6,06088,2,9,1,6,PENETRANTE DU PAILLON,"43,7172990","7,2828140"
201900030060,4,9,2019,08:50,1,75,75119,2,1,1,4,BOULEVARD PERIPHERIQUE EXTERIEUR,"48,8953850","2,3948020"
201900036995,16,8,2019,15:15,1,987,98722,2,1,1,2,PK 14.200," -17,5913360"," -149,3821260"
201900037006,2,10,2019,17:00,1,77,77401,1,2,1,3,D603 X D401,"49,0082700","3,1635450"
201900037925,20,7,2019,22:14,3,94,94019,2,1,1,1,L'HIPPODROME (AV DE),"48,8007500","2,5725200"
201900037948,21,7,2019,15:30,1,80,80710,1,1,1,2,D29,"50,0058050","1,7293420"
201900040828,1,10,2019,19:10,3,16,16400,1,1,2,6,Ld La Croix d'Ebaupin,"45,9873170","0,2011020"
201900041297,1,9,2019,17:30,1,69,69285,2,1,1,2,38 route nationale,"45,7604100","5,0586900"
201900041474,4,4,2019,11:15,1,34,34101,1,1,1,7,d32,"43,4052910","3,4507670"
201900044034,10,6,2019,04:00,5,91,91479,2,1,2,2,FONTAINEBLEAU (ROUTE DE),"48,7131000","2,3711000"
201900045953,23,2,2019,15:40,5,974,97416,2,1,1,1,Avenue Laurent VergÃ¨s," -21,2986826","55,4560947"
201900046281,11,1,2019,15:30,1,59,59009,2,1,2,3,JAURES JEAN RUE    NÂ°5 AU 99,"50,6548000","3,1317000"
201900046408,25,9,2019,12:20,1,63,63113,2,1,1,3,BLERIOT (AVENUE LOUIS),"45,7832041","3,1343382"
201900046742,23,8,2019,09:15,1,974,97411,2,1,1,2,BOIS DE NEFLES (ROUTE DE)," -20,8865500","55,4524100"
201900048058,8,1,2019,12:00,1,13,13214,2,1,1,6,ALEX ANSALDI (RUE),"43,3333610","5,4030210"
201900049681,31,10,2019,07:40,1,57,57543,1,1,1,1,N52,"49,2257070","6,1127240"
201900049834,28,10,2019,18:50,4,44,44010,2,3,8,6,Rue LÃ©on Bureau,"47,2768100"," -2,4771060"
201900051842,4,1,2019,18:45,5,82,82101,2,1,1,6,01 Avenue de quercy,"44,0915730","0,9720450"
201900052121,21,8,2019,15:25,1,974,97411,2,3,1,3,CHAUDRON  (BLD 1 DU)," -20,8960600","55,4953300"
201900054716,2,12,2019,20:18,3,94,94038,2,1,1,6,LEO LAGRANGE (R),"48,7686300","2,3221700"
202000001295,17,5,2020,17:00,1,26,26163,1,1,1,6,Route LÃ©oncel ,"44,8888520","5,1350570"
202000002995,19,5,2020,11:40,1,33,33529,2,3,1,5,D217 Bd dy Pyla,"44,6333400"," -1,1639700"
202000005997,15,10,2020,08:30,1,69,69264,2,1,1,3,GAMBETTA  BD,"45,9908798","4,7150969"
202000009348,29,1,2020,16:15,1,14,14289,1,2,1,3,Route d'Angloischeville,"48,8954420"," -0,1118860"
202000010101,18,8,2020,18:59,1,13,13208,2,1,1,-1,MAZARGUES (AVENUE DE),"43,2562200","5,3938700"
202000011987,3,10,2020,03:21,3,13,13056,1,1,2,6,A55-Sens Martigues vers Marseille,"43,4028700","5,0395400"
202000012712,11,5,2020,13:30,1,31,31492,1,1,2,6,Route de Carbonne,"43,2612100","1,1639180"
202000023193,8,8,2020,15:35,1,33,33167,1,1,1,2,ROUTE NATIONALE 230,"44,8216700"," -0,5165600"
202000025554,7,11,2020,15:55,1,85,85121,1,3,2,1,D30,"46,4546900"," -0,9327700"
202000027235,2,10,2020,12:20,1,93,93053,1,1,2,4,AUTOROUTE A103,"48,8842000","2,4711000"
202000027882,4,6,2020,11:15,1,31,31555,2,1,1,-1,3 BD DEODAT DE SEVERAC,"43,5859500","1,4277200"
202000028550,16,2,2020,18:10,5,91,91174,2,1,1,5,14 Juillet (rue du),"48,6152020","2,4837370"
202000035188,28,9,2020,21:00,3,83,83053,1,1,1,6,Dn8,"43,1584630","5,8358110"
202000035382,26,10,2020,20:04,5,75,75116,2,2,1,3,AVENUE DE NEUILLY,"48,8784390","2,2798310"
202000035737,30,5,2020,21:50,2,94,94081,2,3,1,3,COLONEL FABIEN (AV DU),"48,7825600","2,3808700"
202000036306,14,3,2020,13:15,1,59,59431,2,3,2,3,ARMENTIERES  (RUE D' ),"50,6992120","2,8523270"
202000036916,9,1,2020,18:30,5,14,14220,2,1,1,6,REPUBLIQUE (AVENUE DE LA),"49,3598707","0,0814853"
202000037431,27,9,2020,20:45,3,22,22090,2,1,1,1,Rue du Lavoir,"48,7719626"," -3,3700015"
202000038310,31,8,2020,07:50,1,26,26198,2,3,1,3, 43 Chemin des GrÃ¨zes,"44,5472230","4,7340810"
202000040213,12,3,2020,07:40,1,78,78029,1,1,1,3,A13W,"48,9644710","1,8455730"
