	Type	Val_unique	Val_notnull	Val_null	%_null
Num_Acc	float64	1121571	1121571	55302	4.70
an	int64	18	1176873	0	0.00
mois	int64	12	1176873	0	0.00
jour	int64	31	1176873	0	0.00
hrmn	object	2877	1176873	0	0.00
lum	int64	6	1176873	0	0.00
agg	int64	2	1176873	0	0.00
int	int64	11	1176873	0	0.00
atm	float64	10	1176800	73	0.01
col	float64	8	1176854	19	0.00
com	object	22183	1176871	2	0.00
adr	object	483819	1032364	144509	12.28
gps	object	10	480052	696821	59.21
lat	object	379834	689805	487068	41.39
long	object	415250	689801	487072	41.39
dep	object	217	1176873	0	0.00
Accident_Id	float64	55302	55302	1121571	95.30
