	Type	Val_unique	Val_notnull	Val_null	%_null
Num_Acc	int64	1176873	1176873	0	0.00
catr	float64	8	1176872	1	0.00
voie	object	38865	1064888	111985	9.52
v1	float64	11	541049	635824	54.03
v2	object	74	56624	1120249	95.19
circ	float64	6	1175299	1574	0.13
nbv	object	69	1174142	2731	0.23
pr	object	1413	701389	475484	40.40
pr1	object	3708	699570	477303	40.56
vosp	float64	5	1174112	2761	0.23
prof	float64	6	1174924	1949	0.17
plan	float64	6	1174592	2281	0.19
lartpc	object	469	902767	274106	23.29
larrout	object	728	1064032	112841	9.59
surf	float64	11	1174949	1924	0.16
infra	float64	11	1171465	5408	0.46
situ	float64	9	1171903	4970	0.42
env1	float64	3	953029	223844	19.02
vma	float64	47	218404	958469	81.44
