Modele	libelle	score_ent	score_test	score_f1_0	score_f1_1	score_auc	score_precision	score_recall_0	score_recall_1	score_fbeta_b2	tn	tnpc	fp	fppc	fn	fnpc	tp	tppc	duree_GSCV	duree_GSCV_str	taille_mdl
SVC	Classification à support de vecteurs	0.849979	0.781277	0.770286	0.791265	0.781162	0.783624	0.735271	0.827054	0.812357	13029.0	36.671451	4691.0	13.203299	3080.0	8.668975	14729.0	41.456275	2490.896237	41 min 30 s	65892763.0
LR	Régression logistique	0.755167	0.754567	0.750372	0.758623	0.754529	0.754774	0.739616	0.769442	0.765078	13106.0	36.888176	4614.0	12.986574	4106.0	11.556756	13703.0	38.568493	0.439238	0 s	1647.0
HGB	Hist Gradient Boosting Classifier	0.973542	0.773819	0.765496	0.781571	0.773735	0.775022	0.740181	0.807288	0.796801	13116.0	36.916322	4604.0	12.958428	3432.0	9.659715	14377.0	40.465535	66.728202	1 min 6 s	23726238.0
LGBM	LGBM Classifier	0.786402	0.769625	0.759484	0.778945	0.769524	0.771339	0.729289	0.809759	0.797146	12923.0	36.373104	4797.0	13.501647	3388.0	9.535872	14421.0	40.589378	4.903222	4 s	363206.0
DT	Arbre de décision	0.999683	0.676940	0.675873	0.678000	0.676936	0.676938	0.675339	0.678533	0.678320	11967.0	33.682344	5753.0	16.192406	5725.0	16.113597	12084.0	34.011652	37.421534	37 s	2127305.0
ET	Extra Trees Classifier	0.999683	0.766754	0.762353	0.770995	0.766712	0.767029	0.750113	0.783312	0.778338	13292.0	37.411692	4428.0	12.463058	3859.0	10.861550	13950.0	39.263700	35.196060	35 s	692188809.0
BAG	Bagging Classifier	0.987784	0.735202	0.742768	0.727178	0.735281	0.736167	0.766535	0.704026	0.713108	13583.0	38.230741	4137.0	11.644009	5271.0	14.835768	12538.0	35.289482	265.991584	4 min 25 s	17583960.0
KNN	Plus proches voisins	0.823830	0.736413	0.730014	0.742515	0.736358	0.736834	0.714503	0.758212	0.751854	12661.0	35.635678	5059.0	14.239072	4306.0	12.119677	13503.0	38.005573	0.026815	0 s	114828118.0
RF	Forêt aléatoire	0.999683	0.766669	0.760335	0.772677	0.766608	0.767284	0.742099	0.791117	0.783636	13150.0	37.012018	4570.0	12.862732	3720.0	10.470320	14089.0	39.654930	220.022372	3 min 40 s	242568969.0
GB	Gradient Boosting Classifier	0.759128	0.752399	0.743251	0.760919	0.752315	0.753512	0.718567	0.786063	0.775809	12733.0	35.838329	4987.0	14.036421	3810.0	10.723634	13999.0	39.401616	593.870193	9 min 53 s	193628.0
BIDON	Dummy Classifier	0.498955	0.502350	0.501424	0.503273	0.502349	0.502349	0.501749	0.502948	0.503078	8891.0	25.024628	8829.0	24.850122	8852.0	24.914858	8957.0	25.210392	0.000000	0 s	583.0
